candidate_id,event_key,company,label,artist_id,artist,activity_type,event_name,event_start_date,event_end_date,event_dates,date_confidence,date_evidence,date_source,date_conflict,cities,venues,article_title,published_at,score,review_reason,primary_url,naver_url,related_urls,supporting_article_count,clipped_text,first_seen,last_seen,review_status
f026d0bec80a8c22c92a3845,50dd5565cc6ac8cb6aed7095,JYP,4세대 그룹,nmixx,NMIXX,COMEBACK,열도 정식 데뷔,2026-12-09,2026-12-09,2026-12-09,HIGH,12월 9일,TITLE,N,,,"엔믹스, 열도 정식 데뷔…12월 9일 日 베스트 앨범 발매",2026-07-31T15:08:00+09:00,66,MANUAL_APPROVAL_REQUIRED,https://www.news1.kr/entertain/music/6245346,https://m.entertain.naver.com/article/421/0009090691,https://www.yna.co.kr/view/AKR20260731152200005?input=1195m|https://www.etoday.co.kr/news/view/2609746|https://www.slist.kr/news/articleView.html?idxno=755625|https://www.edaily.co.kr/news/newspath.asp?newsid=04887206645520096,5,"그룹 엔믹스(NMIXX)가 일본 정식 데뷔에 나선다. 31일 소속사 JYP엔터테인먼트는 엔믹스(릴리, 해원, 설윤, 배이, 지우, 규진)이 오는 12월 9일 일본 데뷔 베스트 앨범 '엔이퀄믹스'(N=MIXX)를 발매한다고 알렸다. 이번...",2026-08-01T08:33:21.050332+09:00,2026-08-01T08:33:21.050332+09:00,PENDING
145a3cf8a16bfb5fff143901,c5066ae6c2a1d08a2f07be24,HYBE,HYBE x Geffen,katseye,KATSEYE (캣츠아이),POPUP,WILD,,,,NONE,,,N,서울,,"캣츠아이, 미니 3집 ‘WILD’ 팝업스토어 오픈",2026-08-06T10:38:00+09:00,68,DATE_NOT_FOUND,https://www.bntnews.co.kr/article/view/bnt202608060151,https://www.bntnews.co.kr/article/view/bnt202608060151,,1,"캣츠아이, 미니 3집 ‘WILD’ 팝업스토어 오픈 (제공: 하이브-게펜레코드) 글로벌 걸그룹 캣츠아이(KATSEYE)의 세 번째 EP ‘WILD’ 발매 기념 팝업스토어(KATSEYE ‘WILD’ POP-UP in Seoul)가 오는 14일부터 19일까지 서울 용산구...",2026-08-07T10:37:20.511258+09:00,2026-08-07T10:37:20.511258+09:00,PENDING
a68bfacdc43e7234050d39bc,6c7be0c3d85c3515b635b5ee,HYBE,플레디스,seventeen,SEVENTEEN (세븐틴),POPUP,"디노, '본캐'와 피철인 함께하는 팝업 스토어 연다",,,,NONE,,,N,,,"세븐틴 디노, '본캐'와 피철인 함께하는 팝업 스토어 연다",2026-07-31T14:08:00+09:00,68,DATE_NOT_FOUND,https://www.topstarnews.net/news/articleView.html?idxno=16150940,https://www.topstarnews.net/news/articleView.html?idxno=16150940,,1,그룹 세븐틴 디노를 중심으로 한 색다른 체험형 팝업 스토어가 마련된다. 디노의 솔로 활동과 함께 선보인 캐릭터 피철인을 한 공간에서 경험할 수 있는 구성이어서 팬들의 관심을 모은다. 플레디스...,2026-08-01T08:33:21.050332+09:00,2026-08-01T08:33:21.050332+09:00,PENDING
345395872d1f96d2a8669cc5,d835d55200965a00ae5c14c8,HYBE,플레디스,seventeen,SEVENTEEN (세븐틴),COMEBACK,"디노, 이번엔 '피철인'이다",,,,NONE,,,N,,,"세븐틴 디노, 이번엔 '피철인'이다…부캐로 첫 앨범 발매→차트 상위권...",2026-08-05T10:14:00+09:00,66,DATE_NOT_FOUND,https://mhnse.com/news/articleView.html?idxno=1478693,https://m.entertain.naver.com/article/445/0000445645,,1,그룹 세븐틴의 멤버 디노가 부캐 피철인으로 활동하며 미니 1집 '吉BOARD'를 발매하고 관련 비하인드 콘텐츠를 공개했다. 디노는 지난 4일 세븐틴 공식 유튜브 채널을 통해 '吉BOARD'의 제작 과정을 담은 '吉RECORDS...,2026-08-06T08:31:12.665511+09:00,2026-08-06T08:31:12.665511+09:00,PENDING
46e7b8e1d2484e2b98c669d9,9f8381ef18d78b481e933cfc,JYP,4세대 그룹,stray_kids,Stray Kids,COMEBACK,THIS & THAT,,,,NONE,,,N,,,"스트레이 키즈, 올해 첫 미니 앨범 ‘THIS & THAT’ 발매",2026-08-07T20:58:00+09:00,66,DATE_NOT_FOUND,https://www.marieclairekorea.com/celebrity/2026/08/straykids-24/?utm_source=naver&utm_medium=partnership,https://www.marieclairekorea.com/celebrity/2026/08/straykids-24/?utm_source=naver&utm_medium=partnership,,1,"스트레이 키즈가 올해 첫 미니 앨범 ‘THIS & THAT’으로 돌아왔습니다. © JYP Entertainment © JYP Entertainment © JYP Entertainment 스트레이 키즈의 색다른 얼굴, THIS & THAT 스트레이 키즈(Stray Kids)를 한 가지 장르로만...",2026-08-08T08:08:07.079154+09:00,2026-08-08T08:08:07.079154+09:00,PENDING
9e6bd14bcf2a76edb8768ebd,a4d6fcf45c6dfd06520468fb,JYP,4세대 그룹,stray_kids,Stray Kids,COMEBACK,디스 앤드 댓,,,,NONE,,,N,,,"'글로벌 아이돌' 스트레이 키즈, 오늘 새 앨범 '디스 앤드 댓' 발매",2026-08-07T08:55:00+09:00,71,DATE_NOT_FOUND,https://www.edaily.co.kr/news/newspath.asp?newsid=05159446645545024,https://m.entertain.naver.com/article/018/0006346621,,1,‘글로벌 아이돌’ 보이그룹 스트레이 키즈(Stray Kids)가 7일 새 미니앨범 ‘디스 앤드 댓’(THIS & THAT)으로 컴백한다. ‘디스 앤드 댓’은 스트레이 키즈가 미국 빌보드 메인 앨범차트 빌보드200 1위에 오른 전작...,2026-08-07T10:37:20.511258+09:00,2026-08-07T10:37:20.511258+09:00,PENDING
0505bcab2235b2c1646c1da3,81d87e37b17e26a387229265,JYP,4세대 그룹,stray_kids,Stray Kids,TOUR_ANNOUNCEMENT,서울 5회 공연 전석 매진,,,,CONFLICT,,,Y,서울,KSPO DOME|가 서울 KSPO DOME,"스트레이 키즈, 서울 5회 공연 전석 매진…새 월드투어 시작",2026-08-03T10:27:00+09:00,77,DATE_CONFLICT,https://www.mk.co.kr/article/12114950,https://m.entertain.naver.com/article/009/0005715754,,1,"그룹 스트레이 키즈(Stray Kids)가 서울 KSPO DOME 5회 공연을 성료하며 새 월드투어의 시작을 알렸다. 스트레이 키즈는 7월 25일~26일, 29일, 8월 1일~2일 서울 KSPO DOME에서 월드투어 ‘Stray Kids World Tour ’(런 잇)의 막을...",2026-08-04T08:39:48.560746+09:00,2026-08-04T08:39:48.560746+09:00,PENDING
22ccd0a8dbdc770535ef3077,de5bbdc6ca436378d31cdbec,JYP,Studio J,xdinary_heroes,Xdinary Heroes,FANMEETING,'보안관' 된다⋯내달 세 번째 팬미팅,,,,NONE,,,N,,,"엑스디너리 히어로즈, '보안관' 된다⋯내달 세 번째 팬미팅 개최",2026-08-04T08:30:00+09:00,70,DATE_NOT_FOUND,https://www.etoday.co.kr/news/view/2610632,https://www.etoday.co.kr/news/view/2610632,,1,"이투데이=장유진 기자 | 밴드 엑스디너리 히어로즈(Xdinary Heroes, XH)가 다음 달 세 번째 공식 팬미팅을 개최한다. 엑스디너리 히어로즈는 3일 오후 공식 SNS 채널에 포스터를 게재하고 세 번째 공식 팬미팅...",2026-08-04T08:39:48.560746+09:00,2026-08-04T08:39:48.560746+09:00,PENDING
04c3ecfe87d2b75102d03bf5,56787e9465c5a719fb42cdf5,JYP,Studio J,xdinary_heroes,Xdinary Heroes,FANMEETING,더 엑스-타운,,,,NONE,,,N,,,"엑스디너리 히어로즈, 보안관 변신…9월 팬미팅 '더 엑스-타운' 개최",2026-08-04T09:26:00+09:00,70,DATE_NOT_FOUND,https://www.tenasia.co.kr/article/2026080431264,https://m.entertain.naver.com/article/312/0000770463,,1,"밴드 엑스디너리 히어로즈(Xdinary Heroes, XH)가 오는 9월 세 번째 팬미팅을 열고 팬들과 만난다. 엑스디너리 히어로즈는 지난 3일 공식 SNS를 통해 'Xdinary Heroes 3RD FANMEETING 'THE X-TOWN''(더 엑스-타운) 포스터를...",2026-08-05T08:35:00.642823+09:00,2026-08-05T08:35:00.642823+09:00,PENDING
e63900a197f51dee543ee2eb,328477bc004c7e63ef4446cc,JYP,Studio J,xdinary_heroes,Xdinary Heroes,FANMEETING,보안관 변신,,,,NONE,,,N,,,"엑스디너리 히어로즈, 보안관 변신…9월 팬미팅 개최",2026-08-04T11:22:00+09:00,70,DATE_NOT_FOUND,https://enter.etoday.co.kr/news/view/300589,https://enter.etoday.co.kr/news/view/300589,,1,… 너리 히어로즈(Xdinary Heroes)가 오는 9월 공식 팬덤 빌런즈와의 만남을 예고했다. 엑스디너리 히어로즈는 3일 공식 SNS 채널을 통해 세 번째 공식 팬미팅 'THE X-TOWN'(더 엑스-타운) 포스터를 게재했다. 이번...,2026-08-05T08:35:00.642823+09:00,2026-08-05T08:35:00.642823+09:00,PENDING
